line_id, coordinate_x, coordinate_y
2, 18.4072, 1.99791
2, 18.6073, 1.9979
2, 18.8073, 1.99789
2, 19.0074, 1.99788
2, 19.2075, 1.99787
2, 19.4076, 1.99786
2, 19.6077, 1.99785
2, 19.8078, 1.99784
3, 0, 3
3, 0.200041, 3
3, 0.400085, 2.99999
3, 0.600131, 2.99999
3, 0.800179, 2.99998
3, 1.00023, 2.99996
3, 1.20028, 2.99994
3, 1.40034, 2.99993
3, 1.6004, 2.9999
3, 1.80045, 2.99988
3, 2.00052, 2.99985
3, 2.20058, 2.99982
3, 2.40064, 2.99978
3, 2.60071, 2.99975
3, 2.80078, 2.99971
3, 3.00086, 2.99967
3, 3.20093, 2.99962
3, 3.40101, 2.99958
3, 3.60109, 2.99953
3, 3.80117, 2.99948
3, 4.00125, 2.99943
3, 4.20133, 2.99938
3, 4.40142, 2.99933
3, 4.6015, 2.99927
3, 4.80159, 2.99922
3, 5.00168, 2.99917
3, 5.20176, 2.99912
